"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SNRPC",428647.159996645,30,2.95661211112481,10.1467486678822,3.42587090570152e-24,5.99422959013005e-23
"PPDPF",409978.450359055,30,2.95661211281801,10.1467486620713,3.42587110962179e-24,5.99422959013005e-23
"COX19",409927.504259365,30,2.95661211282284,10.1467486620547,3.42587111020334e-24,5.99422959013005e-23
"RBM8",397894.427343675,30,2.95661211399888,10.1467486580187,3.42587125183904e-24,5.99422959013005e-23
"NDUFAF7",288691.341682544,30,2.95661212915139,10.1467486060171,3.42587307672415e-24,5.99422959013005e-23
"SPOCK1",277026.85119717,30,2.95661213147328,10.1467485980486,3.42587335635945e-24,5.99422959013005e-23
"EPM2A",264005.221831611,30,2.95661213431042,10.1467485883119,3.42587369804944e-24,5.99422959013005e-23
"HEL-S-299",260742.376880618,30,2.9566121350657,10.1467485857198,3.4258737890119e-24,5.99422959013005e-23
"HIST1H2AA",257928.038928532,30,2.95661213573252,10.1467485834314,3.42587386932002e-24,5.99422959013005e-23
"C4B",232507.416318369,30,2.95661214248691,10.1467485602511,3.42587468278135e-24,5.99422959013005e-23
"MAGOHB",231854.864704414,30,2.95661214267978,10.1467485595892,3.42587470601034e-24,5.99422959013005e-23
"PPTC7",217425.477019066,30,2.95661214724081,10.1467485439363,3.42587525531615e-24,5.99422959013005e-23
"STX4",215234.229357232,30,2.95661214798672,10.1467485413764,3.42587534514879e-24,5.99422959013005e-23
"SLTM",212457.167429544,30,2.95661214895437,10.1467485380555,3.42587546168829e-24,5.99422959013005e-23
"WISP2",211409.639158691,30,2.95661214932599,10.1467485367802,3.42587550644359e-24,5.99422959013005e-23
"EIF3G",191873.918477054,30,2.95661215699973,10.1467485104448,3.42587643062763e-24,5.99422959013005e-23
"IGHG2",190829.410153846,30,2.95661215745416,10.1467485088853,3.42587648535663e-24,5.99422959013005e-23
"MTFP1",188965.000030518,30,2.95661215827796,10.1467485060581,3.42587658457146e-24,5.99422959013005e-23
"STK24",174470.936289613,30,2.95661216528268,10.1467484820187,3.42587742818215e-24,5.99422959013005e-23
"NUBP2",170228.463465947,30,2.95661216755864,10.1467484742079,3.42587770228659e-24,5.99422959013005e-23
"CDV3",169072.341049154,30,2.95661216819867,10.1467484720114,3.42587777936853e-24,5.99422959013005e-23
"AHCYL1",165103.12587487,30,2.95661217046422,10.1467484642362,3.42587805222046e-24,5.99422959013005e-23
"PPA2",162834.264759282,30,2.9566121718089,10.1467484596215,3.42587821416575e-24,5.99422959013005e-23
"UGDH",153030.830240832,30,2.95661217807715,10.1467484381095,3.42587896908152e-24,5.99422959013005e-23
"MAP2K3",149709.225674821,30,2.9566121803634,10.1467484302634,3.42587924442486e-24,5.99422959013005e-23
"CHGB",149344.371355943,30,2.95661218064721,10.1467484292894,3.42587927860571e-24,5.99422959013005e-23
"SRRT",146991.027290409,30,2.95661218235526,10.1467484234276,3.42587948431469e-24,5.99422959013005e-23
"HTRA1",143541.193491189,30,2.9566121849603,10.1467484144874,3.42587979805182e-24,5.99422959013005e-23
"NTN3",140687.353951901,30,2.95661218721194,10.14674840676,3.42588006922796e-24,5.99422959013005e-23
"HCLS1",138795.35007775,30,2.95661218875565,10.1467484014622,3.42588025514357e-24,5.99422959013005e-23
"CTSA",136758.513196784,30,2.95661219046536,10.1467483955946,3.42588046105284e-24,5.99422959013005e-23
"FAM98C",131240.117279963,30,2.95661219536402,10.146748378783,3.42588105102223e-24,5.99422959013005e-23
"SNX18",113968.549098482,30,2.95661221376176,10.1467483156441,3.42588326675058e-24,5.99422959013005e-23
"MRPL15",111297.197533685,30,2.95661221711716,10.1467483041288,3.42588367085801e-24,5.99422959013005e-23
"PDIA5",107365.959114918,30,2.9566122223587,10.1467482861405,3.42588430212231e-24,5.99422959013005e-23
"ACAT2",105905.21890279,30,2.95661222440547,10.1467482791162,3.42588454862533e-24,5.99422959013005e-23
"ARPC5",101848.143145265,30,2.95661223039839,10.1467482585492,3.42588527038235e-24,5.99422959013005e-23
"MMAA",101675.62759376,30,2.95661223066362,10.1467482576389,3.42588530232521e-24,5.99422959013005e-23
"MRI1",95529.5262580537,30,2.95661224074504,10.1467482230407,3.42588651648095e-24,5.99422959013005e-23
"EDA",94793.8148781779,30,2.95661224203945,10.1467482185984,3.42588667237322e-24,5.99422959013005e-23
"UBA2",93067.1076309979,30,2.95661224515741,10.1467482078979,3.42588704788532e-24,5.99422959013005e-23
"ABTB2",89624.0157925558,30,2.95661225173439,10.1467481853265,3.42588783998445e-24,5.99422959013005e-23
"COX1",87194.7012184018,30,2.95661225668713,10.1467481683293,3.42588843646795e-24,5.99422959013005e-23
"GAF1",82575.4278948422,30,2.95661226690851,10.1467481332507,3.42588966748004e-24,5.99422959013005e-23
"HEXA",78027.4560955338,30,2.95661227815437,10.1467480946562,3.42589102187751e-24,5.99422959013005e-23
"C14orf142",72285.1039764001,30,2.95661229437494,10.1467480389891,3.42589297540505e-24,5.99422959013005e-23
"ITLN1",71821.3154835677,30,2.95661229576013,10.1467480342353,3.42589314223028e-24,5.99422959013005e-23
